Address,Building Name,Zip Code,Bed,Bath,Avg SF,# Units,Mix %,Units Available Units,Units Available Percent,Avg Asking Rent/Unit,Avg Asking Rent/SF,Avg Effective Rent/Unit,Avg Effective Rent/SF,Concessions %,Year Built,Year Renovated,Units,Lande (Acres),Vacancy %,Washer/Dryer,Walk in Closet,Hardwood/Vinyl Floor,Walk Score,Transit Score,1 Mile Population,1 Mile Median Household Income,Miles from Domain,Miles from Downtown,
1700 E 4th St , Eastside Station,78702,1,1,560,50,15.20%,12,24.00%,1543.00,2.76,1528.00,2.73,0.010,2016,2016,330,4.34,12.70%,Yes in unit,1,1,88,44,20115,70385,12.6,2.1,
1700 E 4th St , Eastside Station,78702,1,1,612,51,15.50%,12,23.50%,1649.00,2.69,1633.00,2.67,0.010,2016,2016,330,4.34,12.70%,Yes in unit,1,1,88,44,20115,70385,12.6,2.1,
1700 E 4th St , Eastside Station,78702,1,1,629,23,7.00%,2,8.70%,1758.00,2.79,1740.00,2.77,0.010,2016,2016,330,4.34,12.70%,Yes in unit,1,1,88,44,20115,70385,12.6,2.1,
1700 E 4th St , Eastside Station,78702,1,1,774,57,17.30%,12,21.10%,1796.00,2.32,1778.00,2.30,0.010,2016,2016,330,4.34,12.70%,Yes in unit,1,1,88,44,20115,70385,12.6,2.1,
1700 E 4th St , Eastside Station,78702,1,1,778,74,22.40%,6,8.10%,1871.00,2.40,1852.00,2.38,0.010,2016,2016,330,4.34,12.70%,Yes in unit,1,1,88,44,20115,70385,12.6,2.1,
1700 E 4th St , Eastside Station,78702,1,2,1247,10,3.00%,6,60.00%,2426.00,1.95,2402.00,1.93,0.010,2016,2016,330,4.34,12.70%,Yes in unit,1,1,88,44,20115,70385,12.6,2.1,
1700 E 4th St , Eastside Station,78702,2,2,992,21,6.40%,6,28.60%,2337.00,2.36,2314.00,2.33,0.010,2016,2016,330,4.34,12.70%,Yes in unit,1,1,88,44,20115,70385,12.6,2.1,
1700 E 4th St , Eastside Station,78702,2,2,1017,8,2.40%,0,0.00%,2255.00,2.22,2233.00,2.20,0.010,2016,2016,330,4.34,12.70%,Yes in unit,1,1,88,44,20115,70385,12.6,2.1,
1700 E 4th St , Eastside Station,78702,2,2,1037,27,8.20%,14,51.90%,2521.00,2.43,2496.00,2.41,0.010,2016,2016,330,4.34,12.70%,Yes in unit,1,1,88,44,20115,70385,12.6,2.1,
1700 E 4th St , Eastside Station,78702,2,2,1228,9,2.70%,2,22.20%,2718.00,2.21,2691.00,2.19,0.010,2016,2016,330,4.34,12.70%,Yes in unit,1,1,88,44,20115,70385,12.6,2.1,
1000 E 5th St , Corazon,78702,0,1,523,12,4.70%,6,50.00%,1560.00,2.98,1550.00,2.96,0.007,2015,2015,256,3.00,3.50%,Yes in unit,1,1,91,59,20785,86269,12.1,1.5,
1000 E 5th St , Corazon,78702,0,1,524,12,4.70%,0,0.00%,1605.00,3.06,1594.00,3.04,0.007,2015,2015,256,3.00,3.50%,Yes in unit,1,1,91,59,20785,86269,12.1,1.5,
1000 E 5th St , Corazon,78702,0,1,551,12,4.70%,4,33.30%,1670.00,3.03,1659.00,3.01,0.007,2015,2015,256,3.00,3.50%,Yes in unit,1,1,91,59,20785,86269,12.1,1.5,
1000 E 5th St , Corazon,78702,1,1,581,12,4.70%,2,16.70%,1620.00,2.79,1612.00,2.77,0.005,2015,2015,256,3.00,3.50%,Yes in unit,1,1,91,59,20785,86269,12.1,1.5,
1000 E 5th St , Corazon,78702,1,1,730,12,4.70%,6,50.00%,1870.00,2.56,1861.00,2.55,0.005,2015,2015,256,3.00,3.50%,Yes in unit,1,1,91,59,20785,86269,12.1,1.5,
1000 E 5th St , Corazon,78702,1,1,765,12,4.70%,0,0.00%,1657.00,2.17,1649.00,2.16,0.005,2015,2015,256,3.00,3.50%,Yes in unit,1,1,91,59,20785,86269,12.1,1.5,
